	organism	tem
4491	Salmonella enterica subsp. enterica serovar Gaminara	0
4492	Salmonella enterica subsp. enterica serovar Give	0
4493	Salmonella enterica subsp. enterica serovar Hayindogo	0
4494	Salmonella enterica subsp. enterica serovar Heidelberg	0
4495	Salmonella enterica subsp. enterica serovar Heidelberg str. 41578	0
4496	Salmonella enterica subsp. enterica serovar Heidelberg str. B182	0
4497	Salmonella enterica subsp. enterica serovar Heidelberg str. CFSAN002064	0
4498	Salmonella enterica subsp. enterica serovar Heidelberg str. CFSAN002069	0
4499	Salmonella enterica subsp. enterica serovar Heidelberg str. SARA35	0
4500	Salmonella enterica subsp. enterica serovar Heidelberg str. SL476	0
4501	Salmonella enterica subsp. enterica serovar Hillingdon str. N1529-D3	0
4502	Salmonella enterica subsp. enterica serovar Hvittingfoss str. SA20014981	0
4503	Salmonella enterica subsp. enterica serovar Indiana	0
4504	Salmonella enterica subsp. enterica serovar Infantis	0
4505	Salmonella enterica subsp. enterica serovar Inverness str. ATCC 10720	0
4506	Salmonella enterica subsp. enterica serovar Java	0
4507	Salmonella enterica subsp. enterica serovar Javiana str. CFSAN001992	0
4508	Salmonella enterica subsp. enterica serovar Johannesburg str. ST203	0
4509	Salmonella enterica subsp. enterica serovar Kentucky	0
4510	Salmonella enterica subsp. enterica serovar Kentucky str. SA20030505	0
4511	Salmonella enterica subsp. enterica serovar Koessen str. S-1501	0
4512	Salmonella enterica subsp. enterica serovar Krefeld str. SA20030536	0
4513	Salmonella enterica subsp. enterica serovar Macclesfield str. S-1643	0
4514	Salmonella enterica subsp. enterica serovar Manchester str. ST278	0
4515	Salmonella enterica subsp. enterica serovar Manhattan	0
4516	Salmonella enterica subsp. enterica serovar Mbandaka	0
4517	Salmonella enterica subsp. enterica serovar Mbandaka str. ATCC 51958	0
4518	Salmonella enterica subsp. enterica serovar Minnesota	0
4519	Salmonella enterica subsp. enterica serovar Minnesota str. ATCC 49284	0
4520	Salmonella enterica subsp. enterica serovar Montevideo str. 507440-20	0
4521	Salmonella enterica subsp. enterica serovar Montevideo str. 531954	0
4522	Salmonella enterica subsp. enterica serovar Montevideo str. CDC 2009K-0792	0
4523	Salmonella enterica subsp. enterica serovar Montevideo str. CDC 2010K-0257	0
4524	Salmonella enterica subsp. enterica serovar Montevideo str. USDA-ARS-USMARC-1903	0
4525	Salmonella enterica subsp. enterica serovar Montevideo str. USDA-ARS-USMARC-1921	0
4526	Salmonella enterica subsp. enterica serovar Moscow str. S-1843	0
4527	Salmonella enterica subsp. enterica serovar Muenster str. 0315	0
4528	Salmonella enterica subsp. enterica serovar Muenster str. 420	0
4529	Salmonella enterica subsp. enterica serovar Newport	0
4530	Salmonella enterica subsp. enterica serovar Newport str. CDC 2010K-2159	0
4531	Salmonella enterica subsp. enterica serovar Newport str. CVM 21538	0
4532	Salmonella enterica subsp. enterica serovar Newport str. CVM 21550	0
4533	Salmonella enterica subsp. enterica serovar Newport str. CVM 22425	0
4534	Salmonella enterica subsp. enterica serovar Newport str. CVM 22462	0
4535	Salmonella enterica subsp. enterica serovar Newport str. CVM 22513	0
4536	Salmonella enterica subsp. enterica serovar Newport str. CVM N1543	0
4537	Salmonella enterica subsp. enterica serovar Newport str. CVM N18486	0
4538	Salmonella enterica subsp. enterica serovar Newport str. Levine 1	0
4539	Salmonella enterica subsp. enterica serovar Newport str. Levine 15	0
4540	Salmonella enterica subsp. enterica serovar Newport str. SL254	0
4541	Salmonella enterica subsp. enterica serovar Newport str. USMARC-S3124.1	0
4542	Salmonella enterica subsp. enterica serovar Newport str. WA_14882	0
4543	Salmonella enterica subsp. enterica serovar Nitra	0
4544	Salmonella enterica subsp. enterica serovar Onderstepoort str. SA20060086	0
4545	Salmonella enterica subsp. enterica serovar Oranienburg str. 0250	0
4546	Salmonella enterica subsp. enterica serovar Ouakam str. SA20034636	0
4547	Salmonella enterica subsp. enterica serovar Panama str. ATCC 7378	0
4548	Salmonella enterica subsp. enterica serovar Paratyphi A	0
4549	Salmonella enterica subsp. enterica serovar Paratyphi A str. AKU_12601	0
4550	Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC 11511	0
4551	Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC 9150	0
4552	Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7	0
4553	Salmonella enterica subsp. enterica serovar Paratyphi C str. RKS4594	0
4554	Salmonella enterica subsp. enterica serovar Pomona str. ATCC 10729	0
4555	Salmonella enterica subsp. enterica serovar Poona str. ATCC BAA-1673	0
4556	Salmonella enterica subsp. enterica serovar Pullorum str. ATCC 9120	0
4557	Salmonella enterica subsp. enterica serovar Quebec str. S-1267	0
4558	Salmonella enterica subsp. enterica serovar Rubislaw str. ATCC 10717	0
4559	Salmonella enterica subsp. enterica serovar Saintpaul	0
4560	Salmonella enterica subsp. enterica serovar Saintpaul str. SARA26	0
4561	Salmonella enterica subsp. enterica serovar Schwarzengrund str. CVM19633	0
4562	Salmonella enterica subsp. enterica serovar Senftenberg	0
4563	Salmonella enterica subsp. enterica serovar Senftenberg str. 361154004	0
4564	Salmonella enterica subsp. enterica serovar Sloterdijk str. ATCC 15791	0
4565	Salmonella enterica subsp. enterica serovar Stanleyville str. CFSAN000624	0
4566	Salmonella enterica subsp. enterica serovar Tennessee	0
4567	Salmonella enterica subsp. enterica serovar Tennessee str. TXSC_TXSC08-19	0
4568	Salmonella enterica subsp. enterica serovar Thompson	0
4569	Salmonella enterica subsp. enterica serovar Thompson str. ATCC 8391	0
4570	Salmonella enterica subsp. enterica serovar Thompson str. RM6836	0
4571	Salmonella enterica subsp. enterica serovar Typhi	0
4572	Salmonella enterica subsp. enterica serovar Typhimurium	0
4573	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S	0
4574	Salmonella enterica subsp. enterica serovar Typhimurium str. 798	0
4575	Salmonella enterica subsp. enterica serovar Typhimurium str. CDC 2009K-1640	0
4576	Salmonella enterica subsp. enterica serovar Typhimurium str. CDC 2009K-2059	0
4577	Salmonella enterica subsp. enterica serovar Typhimurium str. CDC 2010K-1587	0
4578	Salmonella enterica subsp. enterica serovar Typhimurium str. CDC 2011K-0870	0
4579	Salmonella enterica subsp. enterica serovar Typhimurium str. CDC 2011K-1702	0
4580	Salmonella enterica subsp. enterica serovar Typhimurium str. CDC H2662	0
4581	Salmonella enterica subsp. enterica serovar Typhimurium str. D23580	0
4582	Salmonella enterica subsp. enterica serovar Typhimurium str. DT104	0
4583	Salmonella enterica subsp. enterica serovar Typhimurium str. DT2	0
4584	Salmonella enterica subsp. enterica serovar Typhimurium str. L-3553	0
4585	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	0
4586	Salmonella enterica subsp. enterica serovar Typhimurium str. SARA13	0
4587	Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344	0
4588	Salmonella enterica subsp. enterica serovar Typhimurium str. ST4/74	0
4589	Salmonella enterica subsp. enterica serovar Typhimurium str. T000240	0
4590	Salmonella enterica subsp. enterica serovar Typhimurium str. U288	0
4591	Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1	0
4592	Salmonella enterica subsp. enterica serovar Typhimurium str. USDA-ARS-USMARC-1808	0
4593	Salmonella enterica subsp. enterica serovar Typhimurium str. USDA-ARS-USMARC-1810	0
4594	Salmonella enterica subsp. enterica serovar Typhimurium str. USDA-ARS-USMARC-1880	0
4595	Salmonella enterica subsp. enterica serovar Typhimurium str. USDA-ARS-USMARC-1896	0
4596	Salmonella enterica subsp. enterica serovar Typhimurium str. USDA-ARS-USMARC-1898	0
4597	Salmonella enterica subsp. enterica serovar Typhimurium str. USDA-ARS-USMARC-1899	0
4598	Salmonella enterica subsp. enterica serovar Typhimurium var. 5- str. CFSAN001921	0
4599	Salmonella enterica subsp. enterica serovar Typhi str. CT18	0
4600	Salmonella enterica subsp. enterica serovar Typhi str. P-stx-12	0
4601	Salmonella enterica subsp. enterica serovar Typhi str. Ty2	0
4602	Salmonella enterica subsp. enterica serovar Typhi str. Ty21a	0
4603	Salmonella enterica subsp. enterica serovar Wandsworth str. SA20092095	0
4604	Salmonella enterica subsp. enterica serovar Waycross	0
4605	Salmonella enterica subsp. enterica serovar Weltevreden	0
4606	Salmonella enterica subsp. enterica serovar Weltevreden str. 1655	0
4607	Salmonella enterica subsp. enterica serovar Yovokome str. S-1850	0
4608	Salmonella enterica subsp. salamae serovar 55:k:z39 str. 1315K	0
4609	Salmonella enterica subsp. salamae serovar 57:z29:z42	0
4610	Sandaracinus amylolyticus	404ERROR
4611	Sanguibacter keddieii DSM 10542	404ERROR
4612	Saprospira grandis str. Lewin	404ERROR
4613	Scardovia inopinata JCM 12537	404ERROR
4614	Sebaldella termitidis ATCC 33386	404ERROR
4615	secondary endosymbiont of Ctenarytaina eucalypti	404ERROR
4616	secondary endosymbiont of Heteropsylla cubana	404ERROR
4617	secondary endosymbiont of Trabutina mannipara	404ERROR
4618	Sedimenticola thiotaurini	404ERROR
4619	Sediminicola sp. YIK13	404ERROR
4620	Sediminispirochaeta smaragdinae DSM 11293	404ERROR
4621	Segniliparus rotundus DSM 44985	404ERROR
4622	Selenomonas ruminantium subsp. lactilytica TAM6421	0
4623	Selenomonas sp. oral taxon 136	404ERROR
4624	Selenomonas sp. oral taxon 478	404ERROR
4625	Selenomonas sp. oral taxon 920	404ERROR
4626	Selenomonas sputigena ATCC 35185	404ERROR
4627	Seonamhaeicola sp. S2-3	404ERROR
4628	Serinicoccus sp. JLT9	404ERROR
4629	Serratia ficaria	404ERROR
4630	Serratia fonticola	404ERROR
4631	Serratia liquefaciens	404ERROR
4632	Serratia liquefaciens ATCC 27592	404ERROR
4633	Serratia marcescens	['40', '22', '25']
4634	Serratia marcescens SM39	['40', '22', '25']
4635	Serratia marcescens SMB2099	['40', '22', '25']
4636	Serratia marcescens subsp. marcescens Db11	['40', '22', '25']
4637	Serratia marcescens WW4	['40', '22', '25']
4638	Serratia plymuthica	404ERROR
4639	Serratia plymuthica 4Rx13	404ERROR
4640	Serratia plymuthica AS9	404ERROR
4641	Serratia plymuthica PRI-2C	404ERROR
4642	Serratia plymuthica S13	404ERROR
4643	Serratia proteamaculans 568	0
4644	Serratia rubidaea	404ERROR
4645	Serratia sp. AS12	404ERROR
4646	Serratia sp. AS13	404ERROR
4647	Serratia sp. ATCC 39006	404ERROR
4648	Serratia sp. FGI94	404ERROR
4649	Serratia sp. FS14	404ERROR
4650	Serratia sp. MYb239	404ERROR
4651	Serratia sp. SCBI	404ERROR
4652	Serratia sp. SSNIH1	404ERROR
4653	Serratia sp. YD25	404ERROR
4654	Shewanella amazonensis SB2B	0
4655	Shewanella baltica	0
4656	Shewanella baltica BA175	0
4657	Shewanella baltica OS117	0
4658	Shewanella baltica OS155	0
4659	Shewanella baltica OS185	0
4660	Shewanella baltica OS195	0
4661	Shewanella baltica OS223	0
4662	Shewanella baltica OS678	0
4663	Shewanella bicestrii	404ERROR
4664	Shewanella denitrificans OS217	0
4665	Shewanella frigidimarina NCIMB 400	0
4666	Shewanella halifaxensis HAW-EB4	404ERROR
4667	Shewanella japonica	404ERROR
4668	Shewanella loihica PV-4	404ERROR
4669	Shewanella marisflavi	404ERROR
4670	Shewanella oneidensis MR-1	0
4671	Shewanella pealeana ATCC 700345	404ERROR
4672	Shewanella piezotolerans WP3	404ERROR
4673	Shewanella psychrophila	404ERROR
4674	Shewanella putrefaciens 200	0
4675	Shewanella putrefaciens CN-32	0
4676	Shewanella sediminis HAW-EB3	0
4677	Shewanella sp. ANA-3	404ERROR
4678	Shewanella sp. MR-4	404ERROR
4679	Shewanella sp. MR-7	404ERROR
4680	Shewanella sp. Pdp11	404ERROR
4681	Shewanella sp. W3-18-1	404ERROR
4682	Shewanella sp. WE21	404ERROR
4683	Shewanella violacea DSS12	0
4684	Shewanella woodyi ATCC 51908	0
4685	Shigella dysenteriae	0
4686	Shigella dysenteriae Sd197	0
4687	Shigella flexneri 2a str. 301	0
4688	Shigella sp. PAMC 28760	404ERROR
4689	Shimwellia blattae DSM 4481 = NBRC 105725	0
4690	Shinella sp. HZN7	404ERROR
4691	Siansivirga zeaxanthinifaciens CC-SAMT-1	404ERROR
4692	Sideroxydans lithotrophicus ES-1	404ERROR
4693	Simiduia agarivorans SA1 = DSM 21679	404ERROR
4694	Simkania negevensis Z	0
4695	Simonsiella muelleri ATCC 29453	404ERROR
4696	Simplicispira sp. SC1-8	404ERROR
4697	Singulisphaera acidiphila DSM 18658	404ERROR
4698	Sinomonas atrocyanea	404ERROR
4699	Sinorhizobium americanum	0
4700	Sinorhizobium americanum CCGM7	0
4701	Sinorhizobium fredii	0
4702	Sinorhizobium fredii CCBAU 45436	0
4703	Sinorhizobium fredii CCBAU 83666	0
4704	Sinorhizobium fredii NGR234	0
4705	Sinorhizobium medicae WSM419	['28']
4706	Sinorhizobium meliloti	0
4707	Sinorhizobium meliloti 1021	0
4708	Sinorhizobium meliloti 2011	0
4709	Sinorhizobium meliloti AK83	0
4710	Sinorhizobium meliloti BL225C	0
4711	Sinorhizobium meliloti GR4	0
4712	Sinorhizobium meliloti Rm41	0
4713	Sinorhizobium meliloti RU11/001	0
4714	Sinorhizobium meliloti SM11	0
4715	Sinorhizobium sp. CCBAU 05631	404ERROR
4716	Sinorhizobium sp. RAC02	404ERROR
4717	Slackia heliotrinireducens DSM 20476	404ERROR
4718	Sneathia amnii	0
4719	Snodgrassella alvi wkB2	404ERROR
4720	Sodalis endosymbiont of Henestaris halophilus	404ERROR
4721	Sodalis glossinidius str. 'morsitans'	0
4722	Sodalis praecaptivus	404ERROR
4723	Solibacillus silvestris	404ERROR
4724	Solibacillus silvestris StLB046	404ERROR
4725	Solibacillus sp. R5-41	404ERROR
4726	Solitalea canadensis DSM 3403	0
4727	Sorangium cellulosum	0
4728	Sorangium cellulosum So0157-2	0
4729	Sorangium cellulosum So ce56	0
4730	Sphaerobacter thermophilus DSM 20745	0
4731	Sphaerochaeta coccoides DSM 17374	404ERROR
4732	Sphaerochaeta globosa str. Buddy	404ERROR
4733	Sphaerochaeta pleomorpha str. Grapes	404ERROR
4734	Sphingobacteriaceae bacterium GW460-11-11-14-LB5	404ERROR
4735	Sphingobacterium mizutaii	404ERROR
4736	Sphingobacterium sp. 21	404ERROR
4737	Sphingobacterium sp. B29	404ERROR
4738	Sphingobacterium sp. G1-14	404ERROR
4739	Sphingobacterium sp. ML3W	404ERROR
4740	Sphingobium baderi	404ERROR
4741	Sphingobium chlorophenolicum L-1	0
4742	Sphingobium cloacae	404ERROR
4743	Sphingobium herbicidovorans	404ERROR
4744	Sphingobium indicum B90A	0
4745	Sphingobium japonicum UT26S	0
4746	Sphingobium sp. C1	404ERROR
4747	Sphingobium sp. EP60837	404ERROR
4748	Sphingobium sp. MI1205	404ERROR
4749	Sphingobium sp. RAC03	404ERROR
4750	Sphingobium sp. SYK-6	404ERROR
4751	Sphingobium sp. TKS	404ERROR
4752	Sphingobium sp. YBL2	404ERROR
4753	Sphingobium yanoikuyae	404ERROR
4754	Sphingomonas hengshuiensis	404ERROR
4755	Sphingomonas koreensis	0
4756	Sphingomonas melonis	0
4757	Sphingomonas melonis TY	0
4758	Sphingomonas panacis	404ERROR
4759	Sphingomonas sanxanigenens DSM 19645 = NX02	0
4760	Sphingomonas sp. Cra20	404ERROR
4761	Sphingomonas sp. DC-6	404ERROR
4762	Sphingomonas sp. JJ-A5	404ERROR
4763	Sphingomonas sp. KC8	404ERROR
4764	Sphingomonas sp. LK11	404ERROR
4765	Sphingomonas sp. LM7	404ERROR
4766	Sphingomonas sp. MM-1	404ERROR
4767	Sphingomonas sp. NIC1	404ERROR
4768	Sphingomonas taxi	404ERROR
4769	Sphingomonas wittichii RW1	0
4770	Sphingopyxis alaskensis RB2256	404ERROR
4771	Sphingopyxis fribergensis	404ERROR
4772	Sphingopyxis granuli	0
4773	Sphingopyxis macrogoltabida	404ERROR
4774	Sphingopyxis sp. 113P3	404ERROR
4775	Sphingopyxis sp. LPB0140	404ERROR
4776	Sphingopyxis sp. MG	404ERROR
4777	Sphingopyxis sp. QXT-31	404ERROR
4778	Sphingopyxis terrae NBRC 15098	404ERROR
4779	Sphingorhabdus flavimaris	404ERROR
4780	Sphingorhabdus sp. Alg231-15	404ERROR
4781	Sphingorhabdus sp. M41	404ERROR
4782	Sphingorhabdus sp. YGSMI21	404ERROR
4783	Spiribacter curvatus	404ERROR
4784	Spiribacter salinus M19-40	404ERROR
4785	Spirochaeta africana DSM 8902	404ERROR
4786	Spirochaeta thermophila DSM 6192	['68']
4787	Spirochaeta thermophila DSM 6578	['68']
4788	Spiroplasma apis B31	404ERROR
4789	Spiroplasma atrichopogonis	404ERROR
4790	Spiroplasma cantharicola	404ERROR
4791	Spiroplasma chrysopicola DF-1	404ERROR
4792	Spiroplasma citri	0
4793	Spiroplasma clarkii	404ERROR
4794	Spiroplasma corruscae	404ERROR
4795	Spiroplasma culicicola AES-1	404ERROR
4796	Spiroplasma diminutum CUAS-1	404ERROR
4797	Spiroplasma eriocheiris	404ERROR
4798	Spiroplasma eriocheiris CCTCC M 207170	404ERROR
4799	Spiroplasma floricola	404ERROR
4800	Spiroplasma helicoides	404ERROR
4801	Spiroplasma kunkelii CR2-3x	404ERROR
4802	Spiroplasma litorale	404ERROR
4803	Spiroplasma mirum ATCC 29335	0
4804	Spiroplasma monobiae MQ-1	404ERROR
4805	Spiroplasma sabaudiense Ar-1343	404ERROR
4806	Spiroplasma sp. NBRC 100390	404ERROR
4807	Spiroplasma sp. TU-14	404ERROR
4808	Spiroplasma syrphidicola EA-1	404ERROR
4809	Spiroplasma taiwanense CT-1	404ERROR
4810	Spiroplasma turonicum	404ERROR
4811	Spirosoma aerolatum	404ERROR
4812	Spirosoma montaniterrae	404ERROR
4813	Spirosoma radiotolerans	404ERROR
4814	Spirosoma rigui	404ERROR
4815	Spirosoma sp. HA7	404ERROR
4816	Spongiibacter sp. IMCC21906	404ERROR
4817	Sporosarcina psychrophila	404ERROR
4818	Sporosarcina sp. P33	404ERROR
4819	Sporosarcina sp. P37	404ERROR
4820	Sporosarcina ureae	['25', '22']
4821	Stackebrandtia nassauensis DSM 44728	404ERROR
4822	Stanieria cyanosphaera PCC 7437	404ERROR
4823	Stanieria sp. NIES-3757	404ERROR
4824	Staphylococcus agnetis	0
4825	Staphylococcus argenteus	404ERROR
4826	Staphylococcus aureus	['78', '64']
4827	Staphylococcus aureus 04-02981	['78', '64']
4828	Staphylococcus aureus 08BA02176	['78', '64']
4829	Staphylococcus aureus CA-347	['78', '64']
4830	Staphylococcus aureus O46	['78', '64']
4831	Staphylococcus aureus RF122	['78', '64']
4832	Staphylococcus aureus subsp. aureus	['78', '64']
4833	Staphylococcus aureus subsp. aureus 11819-97	['78', '64']
4834	Staphylococcus aureus subsp. aureus 55/2053	['78', '64']
4835	Staphylococcus aureus subsp. aureus 6850	['78', '64']
4836	Staphylococcus aureus subsp. aureus CN1	['78', '64']
4837	Staphylococcus aureus subsp. aureus COL	['78', '64']
4838	Staphylococcus aureus subsp. aureus DSM 20231	['78', '64']
4839	Staphylococcus aureus subsp. aureus ECT-R 2	['78', '64']
4840	Staphylococcus aureus subsp. aureus ED133	['78', '64']
4841	Staphylococcus aureus subsp. aureus ED98	['78', '64']
4842	Staphylococcus aureus subsp. aureus HO 5096 0412	['78', '64']
4843	Staphylococcus aureus subsp. aureus JH1	['78', '64']
4844	Staphylococcus aureus subsp. aureus JH9	['78', '64']
4845	Staphylococcus aureus subsp. aureus JKD6159	['78', '64']
4846	Staphylococcus aureus subsp. aureus LGA251	['78', '64']
4847	Staphylococcus aureus subsp. aureus M013	['78', '64']
4848	Staphylococcus aureus subsp. aureus MRSA252	['78', '64']
4849	Staphylococcus aureus subsp. aureus MSSA476	['78', '64']
4850	Staphylococcus aureus subsp. aureus Mu3	['78', '64']
4851	Staphylococcus aureus subsp. aureus Mu50	['78', '64']
4852	Staphylococcus aureus subsp. aureus MW2	['78', '64']
4853	Staphylococcus aureus subsp. aureus N315	['78', '64']
4854	Staphylococcus aureus subsp. aureus NCTC 8325	['78', '64']
4855	Staphylococcus aureus subsp. aureus SA268	['78', '64']
4856	Staphylococcus aureus subsp. aureus SA40	['78', '64']
4857	Staphylococcus aureus subsp. aureus SA957	['78', '64']
4858	Staphylococcus aureus subsp. aureus ST228	['78', '64']
4859	Staphylococcus aureus subsp. aureus ST398	['78', '64']
4860	Staphylococcus aureus subsp. aureus ST772-MRSA-V	['78', '64']
4861	Staphylococcus aureus subsp. aureus str. JKD6008	['78', '64']
4862	Staphylococcus aureus subsp. aureus str. Newman	['78', '64']
4863	Staphylococcus aureus subsp. aureus T0131	['78', '64']
4864	Staphylococcus aureus subsp. aureus Tager 104	['78', '64']
4865	Staphylococcus aureus subsp. aureus TCH60	['78', '64']
4866	Staphylococcus aureus subsp. aureus TW20	['78', '64']
4867	Staphylococcus aureus subsp. aureus USA300_FPR3757	['78', '64']
4868	Staphylococcus aureus subsp. aureus USA300_TCH1516	['78', '64']
4869	Staphylococcus aureus subsp. aureus VC40	['78', '64']
4870	Staphylococcus aureus subsp. aureus Z172	['78', '64']
4871	Staphylococcus aureus USA300-ISMMS1	['78', '64']
4872	Staphylococcus capitis	0
4873	Staphylococcus capitis subsp. capitis	0
4874	Staphylococcus carnosus	0
4875	Staphylococcus carnosus subsp. carnosus TM300	0
4876	Staphylococcus cohnii	0
4877	Staphylococcus condimenti	0
4878	Staphylococcus epidermidis	0
4879	Staphylococcus epidermidis ATCC 12228	0
4880	Staphylococcus epidermidis PM221	0
4881	Staphylococcus epidermidis RP62A	0
4882	Staphylococcus equorum	0
4883	Staphylococcus felis	0
4884	Staphylococcus haemolyticus	['40', '45', '15', '37', '37', '37']
4885	Staphylococcus haemolyticus JCSC1435	['40', '45', '15', '37', '37', '37']
4886	Staphylococcus hominis subsp. hominis	['35', '40', '45', '15']
4887	Staphylococcus hyicus	0
4888	Staphylococcus kloosii	0
4889	Staphylococcus lugdunensis	0
4890	Staphylococcus lugdunensis HKU09-01	0
4891	Staphylococcus lugdunensis N920143	0
4892	Staphylococcus lutrae	0
4893	Staphylococcus muscae	['37', '25', '45']
4894	Staphylococcus nepalensis	['40', '30', '45']
4895	Staphylococcus pasteuri	404ERROR
4896	Staphylococcus pasteuri SP1	404ERROR
4897	Staphylococcus pettenkoferi	0
4898	Staphylococcus piscifermentans	0
4899	Staphylococcus pseudintermedius	0
4900	Staphylococcus pseudintermedius ED99	0
4901	Staphylococcus pseudintermedius HKU10-03	0
4902	Staphylococcus saprophyticus	0
4903	Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305	0
4904	Staphylococcus schleiferi	0
4905	Staphylococcus sciuri	0
4906	Staphylococcus simiae	0
4907	Staphylococcus simulans	0
4908	Staphylococcus sp. AntiMn-1	404ERROR
4909	Staphylococcus stepanovicii	0
4910	Staphylococcus succinus	['25', '40', '42', '28', '40']
4911	Staphylococcus warneri SG1	['35', '40']
4912	Staphylococcus xylosus	0
4913	Staphylothermus hellenicus DSM 12710	['85', '92', '98', '85']
4914	Staphylothermus marinus F1	['85', '92', '98', '85']
4915	Starkeya novella DSM 506	0
4916	Stenotrophomonas acidaminiphila	0
4917	Stenotrophomonas maltophilia	['30']
4918	Stenotrophomonas maltophilia D457	['30']
4919	Stenotrophomonas maltophilia JV3	['30']
4920	Stenotrophomonas maltophilia K279a	['30']
4921	Stenotrophomonas maltophilia R551-3	['30']
4922	Stenotrophomonas nitritireducens	0
4923	Stenotrophomonas rhizophila	404ERROR
4924	Stenotrophomonas sp. KCTC 12332	404ERROR
4925	Stenotrophomonas sp. LM091	404ERROR
4926	Stenotrophomonas sp. MYb57	404ERROR
4927	Stenotrophomonas sp. WZN-1	404ERROR
4928	Steroidobacter denitrificans	0
4929	Stigmatella aurantiaca DW4/3-1	['90']
4930	Strawberry lethal yellows phytoplasma (CPA) str. NZSb11	404ERROR
4931	Streptobacillus moniliformis	['37', '41']
4932	Streptobacillus moniliformis DSM 12112	['37', '41']
4933	Streptococcus acidominimus	404ERROR
4934	Streptococcus agalactiae	['38']
4935	Streptococcus agalactiae 09mas018883	['38']
4936	Streptococcus agalactiae 2603V/R	['38']
4937	Streptococcus agalactiae A909	['38']
4938	Streptococcus agalactiae CNCTC 10/84	['38']
4939	Streptococcus agalactiae COH1	['38']
4940	Streptococcus agalactiae GD201008-001	['38']
4941	Streptococcus agalactiae ILRI005	['38']
4942	Streptococcus agalactiae NEM316	['38']
4943	Streptococcus anginosus	0
4944	Streptococcus anginosus C1051	0
4945	Streptococcus anginosus C238	0
4946	Streptococcus anginosus subsp. whileyi MAS624	0
4947	Streptococcus constellatus subsp. pharyngis C1050	0
4948	Streptococcus constellatus subsp. pharyngis C232	0
4949	Streptococcus constellatus subsp. pharyngis C818	0
4950	Streptococcus cristatus AS 1.3089	0
4951	Streptococcus dysgalactiae subsp. equisimilis AC-2713	0
4952	Streptococcus dysgalactiae subsp. equisimilis ATCC 12394	0
4953	Streptococcus dysgalactiae subsp. equisimilis GGS_124	0
4954	Streptococcus dysgalactiae subsp. equisimilis RE378	0
4955	Streptococcus equinus	['21', '15', '21', '45', '47', '48']
4956	Streptococcus equi subsp. equi 4047	0
4957	Streptococcus equi subsp. zooepidemicus	0
4958	Streptococcus equi subsp. zooepidemicus ATCC 35246	0
4959	Streptococcus equi subsp. zooepidemicus CY	0
4960	Streptococcus equi subsp. zooepidemicus MGCS10565	0
4961	Streptococcus gallolyticus	0
4962	Streptococcus gallolyticus subsp. gallolyticus ATCC 43143	0
4963	Streptococcus gallolyticus subsp. gallolyticus ATCC BAA-2069	0
4964	Streptococcus gallolyticus subsp. gallolyticus DSM 16831	0
4965	Streptococcus gallolyticus UCN34	0
4966	Streptococcus gordonii	0
4967	Streptococcus gordonii str. Challis substr. CH1	0
4968	Streptococcus halotolerans	404ERROR
4969	Streptococcus himalayensis	404ERROR
4970	Streptococcus infantarius	0
4971	Streptococcus infantarius subsp. infantarius CJ18	0
4972	Streptococcus iniae	0
4973	Streptococcus intermedius	0
4974	Streptococcus intermedius B196	0
4975	Streptococcus intermedius C270	0
4976	Streptococcus intermedius JTH08	0
4977	Streptococcus lutetiensis 033	404ERROR
4978	Streptococcus macedonicus ACA-DC 198	404ERROR
4979	Streptococcus marmotae	404ERROR
4980	Streptococcus merionis	404ERROR
4981	Streptococcus mitis	0
4982	Streptococcus mitis B6	0
4983	Streptococcus mutans	0
4984	Streptococcus mutans GS-5	0
4985	Streptococcus mutans LJ23	0
4986	Streptococcus mutans NN2025	0
4987	Streptococcus mutans UA159	0
4988	Streptococcus mutans UA159-FR	0
4989	Streptococcus oralis	0
4990	Streptococcus oralis subsp. tigurinus	0
4991	Streptococcus oralis Uo5	0
4992	Streptococcus pantholopis	404ERROR
4993	Streptococcus parasanguinis ATCC 15912	0
4994	Streptococcus parasanguinis FW213	0
4995	Streptococcus parauberis	404ERROR
4996	Streptococcus parauberis KCTC 11537	404ERROR
4997	Streptococcus pasteurianus ATCC 43144	404ERROR
4998	Streptococcus pluranimalium	404ERROR
4999	Streptococcus pneumoniae	0
5000	Streptococcus pneumoniae 670-6B	0
5001	Streptococcus pneumoniae 70585	0
5002	Streptococcus pneumoniae AP200	0
5003	Streptococcus pneumoniae ATCC 700669	0
5004	Streptococcus pneumoniae CGSP14	0
5005	Streptococcus pneumoniae G54	0
5006	Streptococcus pneumoniae gamPNI0373	0
5007	Streptococcus pneumoniae Hungary19A-6	0
5008	Streptococcus pneumoniae INV104	0
5009	Streptococcus pneumoniae INV200	0
5010	Streptococcus pneumoniae JJA	0
5011	Streptococcus pneumoniae OXC141	0
5012	Streptococcus pneumoniae P1031	0
5013	Streptococcus pneumoniae R6	0
